id,login,nome,senha_hash,perfil
1,marcelo.almeida673,Marcelo Almeida,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
2,carlos.almeida7980,Carlos Almeida,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
3,gabriel.carvalho3462,Gabriel Carvalho,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,gestor
4,patricia.teixeira7425,Patrícia Teixeira,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
5,marcelo.ferreira9693,Marcelo Ferreira,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
6,gabriel.barbosa1079,Gabriel Barbosa,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
7,otavio.souza7912,Otávio Souza,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
8,bruno.santos1664,Bruno Santos,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
9,gabriel.almeida7309,Gabriel Almeida,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
10,bruno.ribeiro9993,Bruno Ribeiro,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
11,natalia.costa9250,Natália Costa,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
12,juliana.ribeiro5490,Juliana Ribeiro,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,gestor
13,carlos.dias4359,Carlos Dias,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
14,ana.martins4430,Ana Martins,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
15,larissa.lima2350,Larissa Lima,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
16,vanessa.lima9650,Vanessa Lima,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,gestor
17,carlos.gomes2919,Carlos Gomes,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
18,juliana.silva5095,Juliana Silva,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
19,eduardo.lima3005,Eduardo Lima,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
20,helena.oliveira6133,Helena Oliveira,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
21,otavio.melo6713,Otávio Melo,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
22,kaique.rodrigues309,Kaique Rodrigues,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
23,marcelo.dias4064,Marcelo Dias,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
24,eduardo.melo8394,Eduardo Melo,2251db0c782faf3debd3ca8c558e6059b594b811af5d96a22126a85f3f743fad,operador
