id,nome,especialidade,crm
1,Dra. Ana Paula Costa,Clínica Geral,CRM-GO 11234
2,Dr. Ricardo Mendes,Cardiologia,CRM-GO 12468
3,Dra. Fernanda Lima,Ginecologia e Obstetrícia,CRM-GO 13702
4,Dr. Carlos Eduardo Rocha,Ortopedia,CRM-GO 14936
5,Dra. Mariana Souza,Pediatria,CRM-GO 16170
6,Dr. Paulo Henrique Faria,Neurologia,CRM-GO 17404
7,Dra. Juliana Ferreira,Dermatologia,CRM-GO 18638
8,Dr. André Luís Campos,Psiquiatria,CRM-GO 19872
9,Dr. Beatriz Andrade,Endocrinologia,CRM-GO 21106
10,Dra. Marcelo Teixeira,Oftalmologia,CRM-GO 22340
11,Dr. Cristina Borges,Urologia,CRM-GO 23574
12,Dra. Eduardo Sampaio,Reumatologia,CRM-GO 24808
13,Dr. Luciana Freitas,Gastroenterologia,CRM-GO 26042
14,Dra. Roberto Cunha,Infectologia,CRM-GO 27276
15,Dr. Priscila Moura,Pneumologia,CRM-GO 28510
